guideline_id,filename,guideline_name,icd10,age_category,file_size_bytes,sha256,candidate_section_count,candidate_chunk_count
103_3,103_3.pdf,Травма глаза закрытая,"H21.0, S04.0, S05.0, S05.1, S05.7, S05.8","Взрослые, дети",1103477,3e2e560d46be73e49a917822429059f9a45aa2882fc6ecf662d3a8613732e2f7,22,48
106_2,106_2.pdf,Ожоги глаз,T26,"Взрослые, дети",4001596,9de8c9d39c45193c7a24ac3b104a2142074647ae050790705f1e9489c1776d97,25,52
107_2,107_2.pdf,Ретинопатия недоношенных,"H35.1, H35.2",Дети,1222760,2fba00da1d890a440bcc7801b5d0fd8818086cce27f2aaa05ed9b08a8ea291a0,42,80
108_2,108_2.pdf,Врожденная катаракта,"H27.0, Q12.0",Дети,978896,ea9672cc82b402d120733b8c679d658ee0ea7d397621e3c587c2b2417b7ea2ea,19,46
109_2,109_2.pdf,Миопия,H52.1,"Взрослые, дети",4218120,4bb7b288587054b974d2d03c9bbf44a567755e2781eee9371eb249209d36b8c1,26,112
10_5,10_5.pdf,Рак паренхимы почки,"C64, D41.0",Взрослые,995576,611c938caecc6241a34d1ec121259e1461f7af3e5d1252bc98401a73a81cca5e,2,3
112_2,112_2.pdf,Врожденная глаукома,Q15.0,Дети,1075489,ca99ac23f47d071dbc011c340c0acc282bd781b417805f9a2ba745c8a3d28fc5,23,79
114_3,114_3.pdf,Макулярная дегенерация возрастная,H35.3,Взрослые,1048010,035fc8559397b033b64c690b1434b19b38fab450bdd551eded269a93a88fa95f,28,58
115_2,115_2.pdf,"Сахарный диабет: ретинопатия диабетическая, макулярный отек диабетический","E10.3, E11.3, E12.3, E13.3, E14.3, H36.0",Взрослые,3308672,4900472598e0280f35cb470263fb6ef43d7fe9e7a61ea02f5a13e4eac8d60565,19,75
116_2,116_2.pdf,Злокачественные опухоли слюнных желез,"C06.9, C07, C08",Взрослые,1236185,1c7d6316e8aca16c8fae01b04fdd99334c4d481c137de8629936ab596c60a378,22,74
117_3,117_3.pdf,Менопауза и климактерическое состояние у женщины ,"N95.1, N95.2, N95.3, N95.8, N95.9",Взрослые,3593795,43d31ecb7575d820f5506b4cf23ac45484b512c5c435e7aa3f1b171dbe5577e4,25,106
119_3,119_3.pdf,Послеродовое кровотечение,"O67, O72","Взрослые, дети",2707141,e62b61e6553ffc4ada9fa76cec01ee7a834f07617838bb6e8711631ae861c770,29,97
11_3,11_3.pdf,Рак мочевого пузыря ,C67,Взрослые,5880602,55b28daf996d5f38da4d6183818945f229fdf061c7ac5933d9f98df9ac95d2dd,39,162
120_2,120_2.pdf,Ph-негативные миелопролиферативные новообразования,"D45, D47.1, D47.3, D47.4, D75.1",Взрослые,3383766,f7aa09e34af61f24aa55c39906cbc707904dd47bd48978271cd0b70af4af79c3,39,132
121_2,121_2.pdf,Апластическая анемия,"D61.1, D61.3, D61.8, D61.9",Взрослые,835431,1d0cd34d6d85e0ba436ee487ec5073736f68d42b2ef3541ecea27692a0b9c271,22,82
127_2,127_2.pdf,Гемофилия,"D66, D67","Взрослые, дети",1196447,d1caac1de5c0ba1a8cccab21adc4ffa4429e736e64a5a9c4549ce6e7fe6c912f,24,70
129_3,129_3.pdf,"Агрессивные нефолликулярные лимфомы - диффузная В-клеточная крупноклеточная лимфома, В-клеточная лимфома высокой степени злокачественности с  перестройкой генов c-MYC и BCL2/BCL6, первичная медиастинальная В-клеточная лимфома, медиастинальная лимфома серой зоны, лимфома Беркитта, плазмобластная лимфома.","C83.3, C83.7, C83.8, C83.9, C85.2, C85.7, C91.8","Взрослые, дети",2663320,d05387917b5265e93dabc12f3cf1f9740f98dbd69e587a8203a744225e9a6f59,41,193
12_3,12_3.pdf,Рак предстательной железы ,C61,Взрослые,2481775,bf15c85d4865563cb447f8b4b47d1968244dca687dde542c5135d92fa6328aca,24,164
130_2,130_2.pdf,Волосатоклеточный лейкоз,C91.4,Взрослые,991670,4dae1155605b48194aeae6c512059896361ba4f8af987d6de9dd532346110193,15,75
131_2,131_2.pdf,Острые миелоидные лейкозы,"C92.0, C92.3, C92.5, C92.6, C92.7, C92.8, C92.9, C93.0, C94.0, C94.2, C94.7, C95.0",Взрослые,2683885,6385ea055ffffd08567361ef0a07f3c665d52fa54cfd3f21d34c4d95e6acaab4,19,95
